"id","ticker_id","ticker","value","lowvalue","highvalue","change","percentage","sectorid","timestamp","timeCreated"
"60","35656259","sl20","6456.5000","6363.8500","6492.2800","92.6500","1.4559","40","2026-01-08 00:00:34.438","2026-01-08 00:00:39.116"
"61","35659591","aspi","23558.9800","23292.4700","23576.1800","265.1300","1.1382","1","2026-01-08 01:00:45.844","2026-01-08 01:00:39.118"
"62","35659592","sl20","6474.7200","6363.8500","6492.2800","110.8700","1.7422","40","2026-01-08 01:00:45.438","2026-01-08 01:00:39.118"
"63","35662580","aspi","23567.0700","23292.4700","23577.5400","273.2200","1.1729","1","2026-01-08 02:00:42.118","2026-01-08 02:00:39.166"
"64","35662561","sl20","6476.9500","6363.8500","6492.2800","113.1000","1.7772","40","2026-01-08 02:00:16.438","2026-01-08 02:00:39.166"
"65","35665109","aspi","23547.7600","23292.4700","23585.9500","253.9100","1.0900","1","2026-01-08 03:00:41.117","2026-01-08 03:00:39.292"
"66","35665086","sl20","6459.7400","6363.8500","6492.2800","95.8900","1.5068","40","2026-01-08 03:00:06.438","2026-01-08 03:00:39.292"
"67","35668064","aspi","23520.6600","23292.4700","23585.9500","226.8100","0.9737","1","2026-01-08 04:00:00.477","2026-01-08 04:00:39.212"
"68","35668068","sl20","6463.8600","6363.8500","6492.2800","100.0100","1.5715","40","2026-01-08 04:00:17.439","2026-01-08 04:00:39.212"
"69","35668072","aspi","23527.1300","23292.4700","23585.9500","233.2800","1.0015","1","2026-01-08 04:18:38.207","2026-01-08 05:00:39.284"
"70","35668068","sl20","6463.8600","6363.8500","6492.2800","100.0100","1.5715","40","2026-01-08 04:00:17.439","2026-01-08 05:00:39.284"
"71","35668176","aspi","23585.5100","23527.1300","23585.5100","58.3800","0.2481","1","2026-01-08 23:00:34.351","2026-01-08 23:00:39.287"
"72","35668177","sl20","6483.7000","6458.0300","6483.7000","25.6700","0.3975","40","2026-01-08 23:00:34.317","2026-01-08 23:00:39.287"
"73","35671629","aspi","23659.6800","23527.1300","23660.3500","132.5500","0.5634","1","2026-01-09 00:00:35.823","2026-01-09 00:00:39.15"
"74","35671619","sl20","6496.5600","6458.0300","6496.5600","38.5300","0.5966","40","2026-01-09 00:00:25.316","2026-01-09 00:00:39.15"
"75","35674534","aspi","23637.1900","23527.1300","23660.3500","110.0600","0.4678","1","2026-01-09 01:00:38.959","2026-01-09 01:00:39.1"
"76","35674525","sl20","6490.4900","6458.0300","6498.3500","32.4600","0.5026","40","2026-01-09 01:00:38.317","2026-01-09 01:00:39.1"
"77","35676872","aspi","23626.4300","23527.1300","23660.3500","99.3000","0.4221","1","2026-01-09 02:00:31.661","2026-01-09 02:00:39.278"
"78","35676841","sl20","6483.9100","6458.0300","6498.3500","25.8800","0.4007","40","2026-01-09 01:59:38.317","2026-01-09 02:00:39.278"
"79","35679046","aspi","23659.6600","23527.1300","23664.8100","132.5300","0.5633","1","2026-01-09 03:00:39.587","2026-01-09 03:00:39.135"
"80","35679037","sl20","6496.4100","6458.0300","6506.4900","38.3800","0.5943","40","2026-01-09 03:00:27.317","2026-01-09 03:00:39.135"
"81","35682128","aspi","23673.7300","23527.1300","23689.5200","146.6000","0.6231","1","2026-01-09 04:00:00.814","2026-01-09 04:00:39.147"
"82","35682129","sl20","6509.7900","6458.0300","6513.8500","51.7600","0.8015","40","2026-01-09 04:00:16.316","2026-01-09 04:00:39.147"
"83","35682137","aspi","23654.3000","23527.1300","23689.5200","127.1700","0.5405","1","2026-01-09 04:18:58.894","2026-01-09 05:00:39.286"
"84","35682129","sl20","6509.7900","6458.0300","6513.8500","51.7600","0.8015","40","2026-01-09 04:00:16.316","2026-01-09 05:00:39.286"
